X,Y
420960.7537,4600745.8534
479265.9324,4621613.1734
492010.6676,4664496.9732
494684.8996,4683994.2631
483604.6249,4642138.3423
486592.0509,4644957.324
487234.2693,4647248.3227
487414.9898,4649912.3254
467654430,468222495
468220401,467652113
491128.912,4691568.36
490410.423,4693173.37
298149.421,4634710.7079
311797.6536,4703431.3409
314760.3827,4746198.8947
317874.8907,4726856.4111
316648.4692,4721631.6623
353265.0658,4568730.0474
343837.6775,4584065.8827
331719.3681,4587928.5107
319417.9559,4600695.6738
312718.4409,4605366.9119
284618.0636,4625958.907
506187.8932,4686070.469
485661.693,4674417.5067
430349.2641,4684551.9621
396895.6486,4691976.4875
388672.1809,4691320.2688
368542.9415,4687612.9058
293575.4801,4497139.5093
296786.2948,4511600.0174
302522.9504,4516441.6114
307529.7464,4526754.8094
321723.1921,4537789.3188
330992.4066,4545709.5307
365124.3198,4557612.8102
383689.8953,4570358.2391
388278.8696,4576568.4339
404444.5445,4583141.1314
416201.4502,4584119.6137
296368.2751,4502502.5464
295760.707,4506827.5578
303211.7925,4552161.2115
327829.2592,4559879.9667
331187.7979,4559016.8699
344542.4021,4555531.4931
294125.297,4608643.108
445311.1012,4592808.8463
450701.3523,4595809.0901
455221.6057,4599284.7912
463554.9793,4603322.1142
469539.2285,4605955.1129
338607.0995,4557711.3315
340787.5854,4555404.3314
338692.1202,4556477.759
333158.636,4554406.3878
354945.9042,4557627.6774
378734.5682,4569110.5648
340194.8559,4554277.8842
